".\VolumeSampling.exe -i .\model1.obj -o model1.vtk --viscosity 0.05 -r 0.03 -s "0.74 0.74 0.74""
"id","Points:0","Points:1","Points:2"
260,-0.0259108,0.0298116,-0.475
261,0.0325997,0.0125438,-0.487921
262,0.0736605,0.0117442,-0.492141
263,0.120677,0.0139271,-0.490056
264,0.176048,0.0174689,-0.490062
265,0.22483,0.00669058,-0.485323
266,0.273302,0.00772635,-0.484379
267,0.310313,0.011266,-0.543822
268,0.359903,0.0183412,-0.544462
269,0.411553,0.0177397,-0.54311
270,0.464167,0.0181728,-0.548144
271,0.482497,0.01624,-0.510875
272,-0.511131,0.0604879,-0.477284
273,-0.450413,0.0596372,-0.475
274,-0.389519,0.055671,-0.475
275,-0.336435,0.0551895,-0.475
276,-0.289666,0.0579124,-0.475
277,-0.248831,0.0543241,-0.475
278,-0.205697,0.055465,-0.475
279,-0.152259,0.0565813,-0.475
280,0.0291837,0.0768093,-0.475
281,0.0975671,0.047248,-0.486692
282,0.15004,0.0499825,-0.490243
283,0.20742,0.0441881,-0.460238
284,0.241578,0.0736934,-0.466613
285,0.31995,0.0299922,-0.505388
286,0.331266,0.0580661,-0.551024
287,0.381251,0.0608573,-0.555176
288,0.437122,0.0597723,-0.556673
289,0.481075,0.0578525,-0.524619
290,-0.521485,0.1018,-0.480679
291,-0.472456,0.103173,-0.475
292,-0.418217,0.104449,-0.475
293,-0.368575,0.100715,-0.475
294,-0.31584,0.100328,-0.475
295,-0.265785,0.104006,-0.475
296,-0.216824,0.104336,-0.475
297,-0.167085,0.108744,-0.475
298,-0.1216,0.114456,-0.475
299,-0.0748965,0.114121,-0.475
300,-0.0292689,0.110576,-0.475
301,0.0144893,0.115605,-0.475
302,0.0615138,0.115806,-0.475
303,0.122056,0.089657,-0.491854
304,0.175165,0.0888702,-0.497017
305,0.216739,0.100781,-0.489544
306,0.269284,0.100423,-0.471765
307,0.313595,0.0963716,-0.482674
308,0.357075,0.100155,-0.542504
309,0.407084,0.100177,-0.54441
310,0.463901,0.0989829,-0.548761
311,0.482988,0.0991529,-0.510962
312,-0.512156,0.144111,-0.477755
313,-0.446543,0.143685,-0.475
314,-0.386726,0.145172,-0.475
315,-0.34532,0.136215,-0.475
316,-0.303048,0.143093,-0.475
317,0.152286,0.123528,-0.492011
318,0.200496,0.136209,-0.490509
319,0.245733,0.138707,-0.485978
320,0.287201,0.137654,-0.485274
321,0.382958,0.142158,-0.549503
322,0.436312,0.136951,-0.55739
323,0.479881,0.140455,-0.526031
324,-0.520769,0.186602,-0.480788
325,-0.474898,0.194823,-0.475
326,-0.418117,0.194978,-0.475
327,-0.365018,0.19076,-0.475
328,-0.312959,0.186519,-0.475
329,-0.264328,0.195507,-0.475
330,-0.215192,0.192769,-0.475
331,-0.167968,0.19035,-0.475
332,-0.120592,0.189824,-0.475
333,-0.0734923,0.189718,-0.475
334,-0.0276858,0.191098,-0.475
335,0.0181801,0.192138,-0.475
336,0.064386,0.191911,-0.475
337,0.10894,0.199442,-0.475
338,0.157647,0.19652,-0.475
339,0.211375,0.180957,-0.491405
340,0.272914,0.177598,-0.490086
341,0.32094,0.179664,-0.482616
342,0.367823,0.18303,-0.496435
343,0.410781,0.177736,-0.541995
344,0.459454,0.180399,-0.549514
345,0.483404,0.183939,-0.515381
346,0.245837,0.209003,-0.489338
347,0.298297,0.218784,-0.481282
348,0.337252,0.228949,-0.494047
349,0.396256,0.218208,-0.547032
350,0.441412,0.226134,-0.55545
351,0.480159,0.224053,-0.526929
352,-0.518247,0.272177,-0.479773
353,-0.475936,0.274866,-0.475
354,-0.413997,0.269615,-0.475
355,-0.3623,0.269587,-0.475
356,-0.313074,0.269747,-0.475
357,-0.263865,0.268694,-0.475
358,-0.214663,0.26907,-0.475
359,-0.166803,0.26828,-0.475
360,-0.119665,0.267122,-0.475
361,-0.0731019,0.267352,-0.475
362,-0.0265202,0.268277,-0.475
363,0.0201455,0.268723,-0.475
364,0.0660471,0.272358,-0.475
365,0.113332,0.273433,-0.475
366,0.160508,0.274302,-0.475
367,0.204751,0.281559,-0.475
368,0.25404,0.278018,-0.47487
369,0.303354,0.267508,-0.488243
370,0.369701,0.254572,-0.489844
371,0.411631,0.263779,-0.536272
372,0.459028,0.269888,-0.549578
373,0.481631,0.264124,-0.516593
374,0.279964,0.312412,-0.474997
375,0.339772,0.28937,-0.490584
376,0.385146,0.295048,-0.49075
377,0.431577,0.305936,-0.550194
378,0.479122,0.305859,-0.524155
379,-0.517813,0.356956,-0.478916
380,-0.471817,0.342006,-0.475
381,-0.410569,0.35036,-0.475
382,-0.360468,0.353988,-0.475
383,-0.311931,0.350066,-0.475
384,-0.26396,0.347343,-0.475
385,-0.21531,0.347858,-0.475
